ticker,negative,neutral,positive,fact,opinion
BCS,13,31,26,20,50
HSBC,8,26,43,22,55
ANGO,1,1,2,2,2
UNF,1,1,3,1,4
AMBA,2,2,6,5,5
HELE,4,4,1,1,8
LFCR,6,2,6,6,8
ACI,4,8,6,10,8
KBH,1,7,2,7,3
RCEL,3,1,4,1,7
APOG,3,2,4,1,8
ALK,0,3,10,3,10
YUM,1,0,4,2,3
AYI,1,5,4,5,5
LUV,2,0,8,2,8
KRUS,0,1,4,4,1
KO,1,0,7,2,6
TWLO,0,0,4,0,4
SEDG,11,1,0,4,8
NDAQ,0,0,3,0,3
IYY,62,85,42,58,131
EEMA,30,26,17,23,50
BFOCX,1,4,1,4,2
GETY,0,6,1,3,4
ETHUSD,1,4,3,2,6
HMNY,5,6,0,5,6
AEHR,1,2,2,3,2
SUM,0,2,3,2,3
AZZ,1,1,8,4,6
CAMT,1,1,1,2,1
RELL,4,0,1,0,5
PYCR,3,0,1,1,3
CMC,3,3,4,3,7
JEF,3,3,3,2,7
DHAI,6,0,0,1,5
DATSW,0,1,4,0,5
AXON,3,3,10,3,13
LH,0,0,4,0,4
ZION,0,0,3,0,3
HIMS,0,1,3,2,2
RPM,0,2,13,4,11
LNN,0,2,3,3,2
CHWY,2,3,11,2,14
THNQ,7,13,6,11,15
CSML,5,9,4,6,12
PTEN,0,1,4,1,4
ADDYY,2,0,3,3,2
AEIS,0,0,3,0,3
TSCO,0,0,7,1,6
RJF,0,0,4,0,4
PANW,4,2,7,4,9
LYFT,0,0,7,0,7
SMTC,0,1,12,4,9
NVO,1,0,6,1,6
PAYX,2,0,3,2,3
NCNO,3,1,1,1,4
LFVN,0,1,3,2,2
CVNA,1,4,3,4,4
FCPI,8,10,3,10,11
EPV,1,4,3,2,6
ITOT,26,33,17,23,53
HUG.TO,15,27,18,17,43
EWA,7,17,10,8,26
IDAI,1,0,3,2,2
BBAI,8,4,6,3,15
RIVN,4,0,5,0,9
PGPHF,0,2,1,2,1
X,2,1,2,1,4
LC,1,0,2,0,3
NET,0,1,5,1,5
NOW,0,1,9,1,9
ETN,0,0,4,0,4
PGRE,0,1,7,2,6
MTAUSD,0,1,4,3,2
BYD,0,4,7,3,8
PTEU,5,4,1,0,10
VLXUSD,0,4,1,1,4
GBX,1,4,5,7,3
CPNG,0,1,4,0,5
BXP,1,3,0,1,3
AISP,2,2,0,1,3
DPZ,1,1,6,2,6
DEI,1,1,2,1,3
SHW,10,0,2,3,9
EVRG,0,0,3,0,3
ROK,0,0,4,0,4
ALAB,1,0,3,1,3
SGMO,1,2,0,1,2
RTX,1,0,4,1,4
VICI,0,1,4,0,5
LMT,5,3,5,4,9
ESGU,2,3,1,1,5
ESGV,3,5,4,8,4
BABA,10,26,30,24,42
GKOS,0,0,4,0,4
HOG,3,1,0,2,2
PNFP,0,0,4,0,4
SEAT,1,0,3,2,2
GPMT,1,0,3,1,3
AVO,0,1,3,2,2
MSGE,1,0,2,0,3
SDA,0,0,4,0,4
BA,18,18,29,18,47
LEGN,1,0,3,1,3
DOW,2,4,4,6,4
CDMO,4,0,0,3,1
ADBE,7,2,18,6,21
CFBK,3,2,5,1,9
IIPR,3,1,0,1,3
ERNA,2,2,6,1,9
OXBR,1,0,4,1,4
SATX,1,1,3,0,5
GERN,3,0,2,0,5
BFH,2,1,2,0,5
WMT,8,10,27,9,36
INTZ,0,1,5,2,4
ONON,0,0,3,0,3
STNE,1,0,3,0,4
MASI,0,0,3,0,3
TBBK,0,0,3,0,3
MMYT,1,0,2,1,2
LPTH,0,0,5,0,5
FDX,5,8,15,9,19
ACVA,0,0,3,0,3
CLBT,9,5,11,0,25
VUZI,0,1,4,2,3
OKLO,3,1,1,0,5
CRWD,5,3,18,6,20
EAT,2,0,13,2,13
EVLV,24,4,5,7,26
TW,2,1,2,0,5
CALM,0,3,2,2,3
ARDX,2,1,2,2,3
BAOS,0,0,5,1,4
DDOG,1,2,8,2,9
PWR,0,0,3,0,3
PLYA,0,1,3,0,4
TOUR,3,1,1,1,4
LMNR,0,0,5,3,2
ELVA,1,1,3,2,3
AGR,1,1,2,3,1
SCHL,5,1,3,2,7
AJG,1,1,2,3,1
UGI,0,1,8,0,9
SOUN,0,0,4,0,4
AYTU,2,2,1,1,4
FINW,2,1,2,1,4
SQNS,4,2,3,3,6
CSWI,5,2,11,5,13
LW,2,3,4,3,6
LITM,1,0,3,0,4
CCL,1,3,6,6,4
CTAS,0,1,3,1,3
ACN,1,3,10,5,9
KMX,1,2,2,2,3
WTW,1,1,2,2,2
BPTH,0,3,2,5,0
OPHC,4,3,8,4,11
VRTX,4,0,6,1,9
FDS,0,0,5,2,3
THG,2,1,1,1,3
CAG,1,5,3,4,5
KULR,2,0,2,1,3
MU,4,0,6,2,8
MLKN,3,0,1,0,4
BRLT,3,0,0,0,3
PATH,4,0,4,0,8
DRI,0,1,4,1,4
WOR,1,0,4,2,3
YCBD,2,1,1,2,2
WGO,1,3,1,5,0
PALAF,3,1,1,1,4
CDNS,3,3,7,4,9
TTC,2,1,1,1,3
OGI,7,1,2,2,8
PET,2,1,0,1,2
CGTX,0,1,3,2,2
ABM,1,0,4,1,4
JBL,3,2,5,4,6
GIS,7,6,2,3,12
BIRK,1,0,4,0,5
CIEN,4,2,6,1,11
EXPE,0,0,6,1,5
HEI-A,1,0,4,1,4
SBIG,1,0,4,2,3
PKG,0,2,12,2,12
HMC,3,11,6,4,16
CQQQ,2,2,7,4,7
APDN,3,0,2,2,3
AI,1,1,8,3,7
ICAGY,0,1,3,0,4
SRAD,2,1,2,0,5
FTI,0,2,6,2,6
ZBH,1,0,3,0,4
ECL,0,3,5,2,6
DGX,0,0,14,1,13
INTC,11,7,3,5,16
COP,1,3,9,1,12
CCX.TO,3,3,0,4,2
OPOF,3,1,1,2,3
BB,2,3,0,3,2
MITK,0,1,4,1,4
RICK,0,2,3,1,4
MAMA,2,1,2,3,2
RCAT,3,0,2,1,4
CLSD,4,2,4,2,8
T,7,6,10,5,18
DRCT,0,4,0,1,3
F,3,0,1,0,4
MCD,0,1,7,2,6
OKTA,0,0,10,0,10
SP,3,10,2,4,11
MSTR,5,11,8,6,18
LFST,1,1,3,3,2
THC,3,0,2,2,3
PATK,1,2,2,3,2
NAMS,4,3,3,4,6
MPWR,3,1,4,1,7
EWY,9,3,4,6,10
VEON,0,2,3,3,2
IIIV,2,1,2,1,4
AVGO,1,1,12,1,13
PLAY,7,1,2,3,7
CFR,5,2,3,2,8
ASYS,2,1,2,3,2
JLL,0,1,4,2,3
FCEL,1,1,3,1,4
COST,2,5,10,6,11
RH,3,0,10,2,11
RHI,1,0,4,1,4
PEP,1,1,2,1,3
BLUE,5,1,3,1,8
WDC,1,1,2,1,3
EMLAF,1,1,3,2,3
APA,3,2,5,5,5
NDSN,3,1,6,1,9
MTCH,4,1,4,3,6
LQDT,0,1,4,3,2
CCCS,0,1,4,2,3
KEYUF,0,1,4,1,4
JILL,0,3,2,2,3
UEC,2,1,1,3,1
ML,2,4,3,3,6
MYNA,4,1,0,1,4
OLLI,2,4,13,4,15
CMCSA,1,4,4,2,7
IDEXY,2,1,7,6,4
BZ,0,2,8,4,6
LOVE,0,1,9,1,9
SLF,0,0,5,0,5
NA,0,1,3,1,3
GME,4,0,5,2,7
TOL,4,4,9,4,13
SPFI,2,2,1,1,4
DESP,1,3,6,3,7
ASHTF,4,1,0,1,4
MFG,0,3,5,0,8
ANET,1,5,7,5,8
FLAX,1,5,0,2,4
HOPHF,0,4,0,2,2
SPWH,1,1,3,1,4
GIII,1,0,4,3,2
FERG,1,5,4,5,5
AQST,5,1,9,2,13
EMR,0,4,9,3,10
CRVO,4,1,0,0,5
ASO,5,3,2,5,5
UNFI,1,1,3,2,3
MDB,2,5,7,5,9
HQY,2,1,6,3,6
YEXT,1,0,3,1,3
BIIB,7,2,6,5,10
DLO,4,2,4,1,9
AZO,3,1,9,3,10
NOMD,1,0,4,0,5
M,4,4,5,4,9
PFIS,1,2,2,0,5
RENT,1,1,3,2,3
VBNK,2,0,3,2,3
YPF,1,0,2,0,3
QCOM,6,3,19,10,18
BWMN,0,0,5,3,2
XBI,0,2,5,2,5
BYD.TO,0,2,12,1,13
IEUR,0,3,5,3,5
GBDC,0,6,6,3,9
DGT,4,20,8,16,16
ELAN,3,2,0,3,2
PHR,1,0,3,2,2
XTL,0,5,6,6,5
BLDG,0,2,3,2,3
UFO,1,4,0,2,3
KER.PA,4,1,1,1,5
EUFN,2,3,2,3,4
SPLP,0,0,10,2,8
EWTX,2,1,1,1,3
CNK,1,1,2,0,4
ASAN,0,0,4,0,4
DOCU,0,0,4,0,4
GTLB,0,1,7,1,7
HPE,4,3,12,1,18
IOT,1,0,9,2,8
ULTA,5,1,12,4,14
BF-B,0,0,5,2,3
KR,1,1,8,3,7
ETR,0,4,1,3,2
GDRX,4,2,4,0,10
BBW,0,1,4,2,3
LE,3,0,2,1,4
CSIQ,6,0,4,0,10
FIVE,5,3,5,2,11
PVH,3,0,1,0,4
CHPT,3,0,1,1,3
GMS,2,1,1,1,3
DG,2,1,2,1,4
LAKE,0,1,4,1,4
CASY,1,1,2,3,1
GEF,1,3,1,2,3
DLMAF,0,1,4,1,4
AEO,1,1,2,2,2
HRL,3,1,1,3,2
TOST,1,0,4,1,4
DLTR,3,2,4,1,8
HOOD,2,3,13,4,14
PSTG,1,2,9,3,9
MRVL,5,5,11,6,15
CPB,7,2,6,3,12
BMY,4,0,1,1,4
EURL,5,1,2,1,7
OIL,0,0,2,2,0
FLUX,10,2,3,5,10
CURV,6,1,3,5,5
BOX,1,3,6,2,8
BASE,1,1,3,1,4
CTRN,0,0,5,0,5
AFL,0,0,4,2,2
SHOP,0,0,10,0,10
VRT,2,0,6,2,6
FL,3,3,2,3,5
NARI,1,1,3,1,4
BNS,2,5,3,3,7
ZS,8,4,7,5,14
WEC,0,0,3,1,2
PROSY,1,0,4,0,5
CRDO,1,1,2,1,3
ALCO,1,1,3,2,3
ZUO,3,2,0,1,4
SLX,5,5,7,5,12
QQQM,8,31,18,22,35
HHF.TO,0,6,6,4,8
AILE,6,3,1,2,8
LSPD,1,1,2,1,3
IBRX,3,1,6,4,6
IMPP,3,0,2,1,4
DSGX,0,0,5,0,5
DCI,0,0,5,0,5
CHH,2,3,5,2,8
ZG,0,0,3,0,3
NU,2,3,11,3,13
SYK,0,0,4,0,4
SQ,2,0,10,2,10
SOXX,4,3,1,5,3
AIQ,2,8,10,9,11
CHIX,0,2,3,3,2
IYR,0,4,5,2,7
INDY,2,1,0,1,2
IYH,5,0,1,2,4
STLA,1,4,1,2,4
LTCUSD,0,4,3,1,6
HBA.TO,4,3,0,1,6
KSA,1,2,0,1,2
AX,2,4,9,5,10
BGNE,1,1,2,2,2
PTCT,2,0,3,2,3
BIOR,2,1,2,1,4
CABA,0,2,5,2,5
WYHG,1,1,2,2,2
MNSO,0,5,5,5,5
CNTMF,2,1,2,2,3
CLSK,2,2,1,2,3
NAT,2,1,2,2,3
ADSK,7,2,9,4,14
DDD,0,0,3,0,3
BIDU,10,7,15,13,19
FGF,1,3,1,2,3
RSGUF,1,1,3,3,2
GOGL,0,1,4,1,4
MGROF,1,1,3,3,2
FRO,3,3,4,5,5
CMPGY,0,0,5,1,4
IMMR,2,1,2,2,3
BBY,3,2,0,2,3
AXS,0,0,4,1,3
CLVR,0,1,4,2,3
DELL,15,4,8,7,20
HPQ,2,0,2,1,3
JWN,3,1,10,3,11
NTNX,1,0,7,1,7
DB,6,4,9,4,15
SJM,4,3,3,3,7
WDAY,2,0,8,2,8
DKS,4,1,8,5,8
WWD,0,3,9,4,8
ZM,3,1,10,2,12
A,5,2,6,3,10
HUBB,2,0,1,1,2
RMBS,0,0,2,0,2
LESL,3,1,1,1,4
BLBD,0,2,8,0,10
AFRM,0,1,7,1,7
BSX,3,4,3,4,6
YY,0,1,4,0,5
FXLV,0,2,5,1,6
BBWI,3,3,3,3,6
CWEN,0,0,2,0,2
URBN,1,2,2,1,4
BURL,1,1,3,3,2
AGZ,0,4,4,5,3
USDTUSD,0,1,6,2,5
ANF,0,2,3,1,4
GPUS,1,3,1,4,1
PFBC,4,3,3,1,9
ADMA,2,2,1,2,3
SCVL,2,1,2,2,3
PG,6,5,4,2,13
CPA,3,1,5,5,4
ATR,0,2,3,1,4
NMHI,1,1,2,4,0
LIFWZ,4,1,0,0,5
WMG,2,0,2,1,3
ROST,1,1,7,4,5
NTAP,0,2,13,1,14
DE,7,4,3,2,12
BJ,0,1,3,1,3
AVPT,0,2,2,0,4
INTU,2,1,7,2,8
TCBI,1,2,2,2,3
BKE,3,0,2,2,3
IAS,0,1,9,1,9
DY,1,1,3,1,4
DBX,2,2,3,3,4
MMS,1,1,3,2,3
SR,3,1,1,2,3
NIO,6,5,13,6,18
TJX,3,0,11,2,12
TGT,9,6,5,4,16
WIX,0,0,4,0,4
HDGE.TO,0,0,1,0,1
LUXH,1,1,2,1,3
ROAD,1,2,2,1,4
DRVN,0,1,4,2,3
AIM,2,1,2,2,3
LOW,7,2,8,3,14
MDT,1,1,3,2,3
GFS,1,0,2,1,2
BOOM,4,0,0,1,3
ENR,0,0,3,1,2
AS,0,0,3,0,3
MIGI,3,0,2,1,4
VFS,12,2,6,5,15
ZIM,1,0,4,2,3
FUTU,1,1,6,3,5
TCOM,0,1,8,2,7
FENC,1,2,2,2,3
JACK,4,0,4,2,6
XRAY,3,0,1,1,3
FIX,0,1,2,1,2
SAVE,0,2,13,0,15
FI,0,0,3,0,3
MGIC,0,0,3,0,3
XPEV,0,0,5,1,4
VIPS,2,1,2,1,4
AWK,0,0,5,3,2
EZPW,1,0,4,2,3
GSBD,6,18,4,7,21
BKKT,2,3,10,4,11
MDCX,1,1,3,1,4
SBLK,2,2,6,3,7
ZETA,2,1,6,2,7
BFAM,2,0,1,0,3
MRNA,2,1,6,4,5
ANY,1,0,4,1,4
BTBT,1,0,4,0,5
GLNG,0,2,3,2,3
J,0,2,3,2,3
JMSB,2,1,2,1,4
ACM,0,2,3,1,4
WLK,0,0,5,3,2
ORGN,2,1,1,0,4
AGEN,3,1,1,1,4
SYF,2,1,2,1,4
KRON,3,0,2,2,3
DDS,1,1,3,2,3
BN,0,0,5,0,5
IBTA,1,0,3,0,4
POST,0,1,4,1,4
NICE,1,0,4,0,5
SBH,1,4,4,2,7
GLOB,1,0,3,0,4
DOCS,0,0,3,0,3
AAP,4,0,0,0,4
BE,1,0,3,1,3
SYM,1,2,1,3,1
SRTS,0,1,4,1,4
AEYE,2,0,3,1,4
MPTI,3,0,3,1,5
FLYW,2,1,1,2,2
TLSI,3,2,0,1,4
ASA,1,2,2,2,3
STTK,5,0,0,1,4
IDN,2,0,2,0,4
ALTG,6,3,1,3,7
CSCO,2,2,5,4,5
CIX,4,1,0,0,5
HI,4,0,1,0,5
FOUR,1,0,4,2,3
CYBR,1,1,6,1,7
SONO,2,0,1,0,3
CTRA,0,0,4,0,4
BLNK,3,1,0,1,3
ROIV,2,1,2,0,5
JD,0,2,3,2,3
REGN,2,1,2,2,3
XOS,2,1,2,1,4
BRBR,1,2,2,3,2
SPB,3,1,1,2,3
VERO,4,1,0,1,4
PANL,1,0,4,2,3
MRSN,2,0,3,2,3
GILD,1,0,4,2,3
ICUI,0,0,5,1,4
TGI,1,1,2,0,4
ALIT,2,1,2,1,4
MOS,2,0,3,1,4
AAON,1,2,2,3,2
HD,3,2,8,2,11
AXSM,2,0,3,1,4
ZI,3,0,1,1,3
NTRA,0,0,3,0,3
CAVA,0,0,9,0,9
MARA,3,0,1,0,4
NSSC,2,2,6,4,6
TEO,1,1,2,2,2
GRPN,1,2,2,1,4
GPS,0,1,4,2,3
AGO,1,2,2,1,4
IAC,2,2,6,4,6
MNDY,1,1,3,2,3
LYV,3,1,5,4,5
PGNY,3,3,4,0,10
ARMK,2,3,0,3,2
SHLS,2,0,1,1,2
CMTG,2,3,3,4,4
BR,0,2,3,3,2
LSCC,2,1,2,1,4
MIRM,1,1,3,2,3
TSVT,2,2,0,1,3
NRSNW,6,0,0,2,4
LAZR,1,0,3,0,4
CMG,3,4,3,1,9
WMS,1,0,1,0,2
FBND,2,6,0,5,3
CHIE,1,7,11,6,13
JGLD,2,6,1,6,3
VNM,0,4,5,4,5
MCHI,0,4,5,2,7
EC,1,0,4,2,3
ME,2,1,2,2,3
PPL,0,2,3,3,2
ALC,0,1,3,1,3
SVCO,1,2,2,2,3
LNZA,2,1,1,0,4
WES,1,3,1,1,4
BX,0,1,7,1,7
FTRE,2,1,1,1,3
AMCX,5,0,0,1,4
PARA,4,1,4,5,4
DNA,2,1,2,1,4
AGL,3,0,0,0,3
VALE,1,1,1,2,1
SMAR,1,0,1,1,1
CE,2,0,0,0,2
ATMU,0,1,3,0,4
MLNK,0,0,2,0,2
OMCL,2,1,0,1,2
AMH,0,2,2,3,1
TM,1,4,8,4,9
FLEE,0,5,3,4,4
SHIBUSD,0,5,5,0,10
IQM,0,2,9,5,6
RKLB,3,1,6,2,8
RDNT,1,2,1,4,0
EXFY,1,1,2,1,3
DH,1,0,4,2,3
TSBX,3,1,0,1,3
BHVN,1,1,3,1,4
STRO,0,1,3,2,2
III,1,1,2,2,2
LWAY,0,0,5,0,5
IGMS,3,1,0,1,3
NUTX,2,0,2,0,4
SBT,2,2,1,2,3
OPAL,1,1,3,1,4
DKNG,7,2,1,3,7
GCT,0,1,4,0,5
DRH,1,2,2,3,2
ZD,0,0,5,1,4
MTUS,3,0,2,2,3
VCTR,0,2,3,3,2
TTD,3,4,1,4,4
MTD,0,1,4,1,4
ALKT,1,1,3,3,2
PEB,2,1,7,1,9
CIVI,1,2,2,2,3
KOP,2,0,3,1,4
YMAB,4,0,1,2,3
ABNB,3,2,3,2,6
CGC,3,0,2,1,4
LCID,0,0,5,1,4
XERS,0,2,3,1,4
WPM,0,2,3,2,3
RLJ,0,1,4,0,5
PAHC,1,1,3,2,3
RCMT,1,1,3,2,3
ARRY,4,0,0,1,3
ALNT,1,0,4,2,3
MKSI,0,0,5,2,3
GRMN,0,0,8,0,8
MTSI,1,0,4,1,4
MWFLX,0,2,5,1,6
TPVG,2,1,1,2,2
DCO,0,2,3,1,4
FSLY,0,1,3,1,3
ARM,2,0,2,1,3
COTY,3,0,1,0,4
TRIP,2,0,1,2,1
Z,0,0,3,1,2
XNCR,2,1,2,0,5
SITC,1,2,2,1,4
WTI,2,2,1,1,4
STRL,0,2,3,1,4
HUBS,0,0,4,2,2
ASH,0,2,3,4,1
CLNE,0,0,5,2,3
CLVT,5,0,0,0,5
JAZZ,1,1,3,1,4
ACGL,1,0,3,1,3
ARIS,0,1,4,2,3
STWD,1,1,3,0,5
PINS,1,0,9,2,8
CELH,1,0,4,0,5
MCHP,3,0,0,0,3
TME,0,0,3,0,3
IFF,1,1,6,2,6
DVN,2,0,5,2,5
LUMN,1,0,7,0,8
NTB,1,1,3,0,5
IONS,0,1,4,1,4
PAYO,0,2,3,3,2
SHC,2,1,1,2,2
CRUS,1,0,3,0,4
APO,0,0,5,1,4
NYT,2,0,7,1,8
FOXA,1,1,10,4,8
INTA,2,1,2,1,4
MODG,1,1,3,1,4
PTLO,1,2,2,2,3
DEA,1,1,3,1,4
GT,1,0,3,1,3
EGHT,1,0,2,0,3
ILMN,3,0,2,0,5
MQ,2,0,1,0,3
CMS,0,0,2,0,2
HOLX,0,0,4,1,3
BCC,2,2,1,2,3
HHH,1,0,4,2,3
GOOD,2,1,2,2,3
FANG,2,4,1,4,3
GLT,1,2,1,1,3
MED,1,0,3,2,2
CNTY,3,0,2,1,4
EXAS,0,0,5,1,4
ASM,1,1,3,1,4
RVTY,2,3,0,2,3
PEG,2,0,1,1,2
MAR,2,1,4,4,3
L,2,0,2,0,4
BRK-B,3,3,9,6,9
CEG,1,0,4,0,5
BAM,0,0,5,1,4
EXPD,2,1,4,2,5
DD,0,0,5,1,4
CMRE,2,2,6,3,7
CHD,0,1,4,1,4
BEN,2,2,0,0,4
SOHO,0,1,3,1,3
DBRG,1,2,2,1,4
NVT,1,3,1,2,3
D,2,3,7,5,7
CVX,0,3,6,2,7
BC,7,2,1,4,6
LYB,2,0,3,1,4
W,4,0,1,2,3
SPG,1,0,2,0,3
XOM,0,2,3,2,3
TZUP,0,0,4,0,4
DSGR,1,1,3,2,3
H,0,1,4,1,4
SABR,3,1,1,1,4
SRI,2,1,2,1,4
SM,3,1,0,2,2
LIN,0,1,4,0,5
NOK,0,4,5,4,5
HII,5,3,2,2,8
WEAV,0,1,4,1,4
SFM,0,2,2,2,2
SO,0,0,4,1,3
EBAY,2,0,2,0,4
UBER,1,0,6,0,7
RBLX,0,0,3,0,3
SBUX,11,1,0,3,9
ICE,0,2,3,1,4
